doi,footnote,subset,author/s,title,label,paragraph,input,output
https://doi.org/10.1093/ehr/cead108,85,1,M. Pelling and K. Wulf,"Women and History: Power, Politics and Historical Thinking in Queen Charlotte’s Court. A Virtual Exhibition",0,"As Clarence and Gloucester adopted such sharply opposing positions,
where did George III and other members of his family stand on the
slave trade question? No clear evidence has yet come to light to trace the
views of Queen Charlotte and the princesses, other than a few examples
of pamphlets and cartoons which say more about the assumptions of
the writers and satirists than they do about the royal family. In 1792, for
example, the anonymous author of An Address to Her Royal Highness the
Dutchess of York, Against the Use of Sugar appealed to the assumed maternal
instincts of the newly married duchess by asking her to imagine
the suffering of thousands of infants separated from their parents.82
The central appeal of the Address focused on persuading her to convince
her ‘Royal Consort’, the Duke of York, to oppose the slave trade.
It also claimed that her example as an ‘amiable daughter-in-law’ would
persuade George III and Queen Charlotte to discourage a ‘villainous
trade, by rejecting the produce of it’. The pamphlet concluded with
flattery, telling the duchess that if she helped Africans in this way, songs would be composed in her honour as ‘the guardian angel of Africa’.83
As the couple separated several years later, her anticipated influence
was entirely imaginary.84 This lack of direct of evidence for the views
of women at court is not to suggest that they were unaware of, or uninterested
in, this debate; as Madeleine Pelling and Karin Wulf have
recently noted, the court of Queen Charlotte included ‘accomplished,
intellectually curious, and literary women’.85","Citation:
As the couple separated several years later, her anticipated influence was entirely imaginary. [MASK] This lack of direct of evidence for the views of women at court is not to suggest that they were unaware of, or uninterested in, this debate; as Madeleine Pelling and Karin Wulf have recently noted, the court of Queen Charlotte included ‘accomplished, intellectually curious, and literary women’.[CITATION-85]

Title:
Women and History: Power, Politics and Historical Thinking in Queen Charlotte’s Court. A Virtual Exhibition

Footnote:
M. Pelling and K. Wulf, ‘Women and History: Power, Politics and Historical Thinking in Queen Charlotte’s Court. A Virtual Exhibition’, Georgian Papers Programme, at https://georgianpapers.com/explore-the-collections/virtual-exhibits/women-and-history-power-politics-and-historical-thinking-in-queen-charlottes-court/ (accessed 31 Jan. 2023).

Label: neutral","The label ""neutral"" is appropriate for this citation because the author does not make any statement about the quality or value of the cited work. The author simply references the work of Madeleine Pelling and Karin Wulf as a source of information on the topic of women at Queen Charlotte's court. The citation does not express any personal opinion or judgement about the work or its authors, making it a neutral citation."
https://doi.org/10.1093/ehr/cead105,1,1,W.L. Cleveland,Islam against the West: Shakib Arslan and the Campaign for Islamic Nationalism,0,"According to William Cleveland’s study of Shakib Arslan’s anti-imperialist struggle, Arslan’s sentiments were accurately reflected in the letter. Cleveland speculates, as did many of Arslan’s contemporaries, that financial distress motivated Arslan’s sudden turn to support Mussolini.1 Indeed, Arslan complained to correspondents about his finances.2 His rapprochement with Italy was a response to Mussolini’s campaign to promote Fascist ideology and pro-Italian sentiment throughout the eastern Mediterranean. To support Italian ambitions for both spiritual and material expansion, propaganda recruited local support through radio broadcasts, newspapers, student exchanges, cultivating elite support and other activities. It sought to ‘challenge the British imperial and mandatory system from within’. To that end, Italy strengthened bonds with anti-colonial movements in British and French-held territory. Although some British officials were dismissive, those who were alarmed still lacked the means to contain Italian influence.3","Citation:
According to William Cleveland’s study of Shakib Arslan’s anti-imperialist struggle, Arslan’s sentiments were accurately reflected in the letter. Cleveland speculates, as did many of Arslan’s contemporaries, that financial distress motivated Arslan’s sudden turn to support Mussolini. [CITATION-1] Indeed, Arslan complained to correspondents about his finances. [MASK] His rapprochement with Italy was a response to Mussolini’s campaign to promote Fascist ideology and pro-Italian sentiment throughout the eastern Mediterranean. To support Italian ambitions for both spiritual and material expansion, propaganda recruited local support through radio broadcasts, newspapers, student exchanges, cultivating elite support and other activities. It sought to ‘challenge the British imperial and mandatory system from within’. To that end, Italy strengthened bonds with anti-colonial movements in British and French-held territory. Although some British officials were dismissive, those who were alarmed still lacked the means to contain Italian influence. [MASK]

Title:
Islam against the West: Shakib Arslan and the Campaign for Islamic Nationalism

Footnote:
W.L. Cleveland, Islam against the West: Shakib Arslan and the Campaign for Islamic Nationalism (1st edn, Austin, TX, 1985), pp. 146–50.

Label: neutral","The label ""neutral"" is appropriate for this citation because the author, William Cleveland, is not expressing any personal opinion or judgement about the quality of Shakib Arslan's anti-imperialist struggle or the study itself. The citation simply presents Cleveland's speculation and analysis of Arslan's motivations and actions, without any indication of the author's own evaluation or bias. The focus is on the historical context and events, rather than the author's subjective viewpoint. Therefore, the citation can be considered neutral in nature."
https://doi.org/10.1093/ehr/cead105,31,1,M. Kabha,"The Palestinian Press as Shaper of Public Opinion, 1929–39: Writing up a Storm",1,"Many scholars have studied the role of the Palestinian press in national activity and factional conflict.31 Palestinian newspapers emerged from the early nationalist or proto-nationalist movement of the late Ottoman period. They were typically owned by notable families and leaned towards nationalism, but also tended to represent the specific interest of the owning family.","Citation:
Many scholars have studied the role of the Palestinian press in national activity and factional conflict. [CITATION-31]
Palestinian newspapers emerged from the early nationalist or proto-nationalist movement of the late Ottoman period. They were typically owned by notable families and leaned towards nationalism, but also tended to represent the specific interest of the owning family.

Title:
The Palestinian Press as Shaper of Public Opinion, 1929–39: Writing up a Storm

Footnote:
By far the most comprehensive study is M. Kabha, The Palestinian Press as Shaper of Public Opinion, 1929–39: Writing up a Storm (London, 2007); it is also well covered by Matthews, Confronting an Empire. On origins, see R. Khalidi, Palestinian Identity: The Construction of Modern National Consciousness (NY, 1998), pp. 119–27.

Label: neutral","The label ""neutral"" is appropriate for this citation because the author does not make any statement about the quality or value of the cited work. The citation simply provides information about the topic of study and references the comprehensive study by M. Kabha. The author does not express any personal opinion or judgment about the work or its author, making it a neutral citation."
https://doi.org/10.1093/ehr/cead102,12,1,B. Hughes and T. Hughes,Georgian Shoe Buckles,1,"Since these narratives maintain that display was problematic for men, historians have tended to associate buckles with foppery. Buckles feature prominently in studies of the ‘macaronis’, the fashion-obsessed men named after the pasta dish that they supposedly brought back from the Grand Tour—along with other foreign styles and vices.11 The shoe historians Bernard and Therle Hughes deployed an extract from The London Spy (1698), in which city beaus wear ‘Shoes black as Jet, which shin’d by much Rubbing … displayed Buckles preserv’d bright in a Box of Cotton, that they dazzled the Eyes of each Beholder like a piece of Looking-Glass in the Sunshine’.12 This passage has been re-quoted by subsequent shoe historians, since it conveniently reinforces the image of buckles as showy and excessive, but it is in fact a misquotation: the original passage instead refers to black boots (which did not have buckles) and shiny spurs.13 The focus on foppery has obscured the extent to which buckles featured in mainstream masculine wear, and indeed could be considered manly. This article therefore re-examines the relationship between men and their buckles. It begins by exploring the history of buckles, establishing that their meanings were complex and subject to change. It then considers buckles as material artefacts, and concludes by exploring their implications for masculinity. We will see how the shoe buckle complicates our current understanding of the relationship between masculinity, effeminacy and luxury consumer goods, and furthermore that it played a role in wider shifts in the nature of social identity.","Citation:
Since these narratives maintain that display was problematic for men, historians have tended to associate buckles with foppery. Buckles feature prominently in studies of the ‘macaronis’, the fashion-obsessed men named after the pasta dish that they supposedly brought back from the Grand Tour—along with other foreign styles and vices. [MASK] The shoe historians Bernard and Therle Hughes deployed an extract from The London Spy (1698), in which city beaus wear ‘Shoes black as Jet, which shin’d by much Rubbing … displayed Buckles preserv’d bright in a Box of Cotton, that they dazzled the Eyes of each Beholder like a piece of Looking-Glass in the Sunshine’. [CITATION-12] This passage has been re-quoted by subsequent shoe historians, since it conveniently reinforces the image of buckles as showy and excessive, but it is in fact a misquotation: the original passage instead refers to black boots (which did not have buckles) and shiny spurs. [MASK] The focus on foppery has obscured the extent to which buckles featured in mainstream masculine wear, and indeed could be considered manly. This article therefore re-examines the relationship between men and their buckles. It begins by exploring the history of buckles, establishing that their meanings were complex and subject to change. It then considers buckles as material artefacts, and concludes by exploring their implications for masculinity. We will see how the shoe buckle complicates our current understanding of the relationship between masculinity, effeminacy and luxury consumer goods, and furthermore that it played a role in wider shifts in the nature of social identity.

Title:
Georgian Shoe Buckles

Footnote:
B. Hughes and T. Hughes, Georgian Shoe Buckles (London, 1972), p. 5.

Label: opinionated","The label ""opinionated"" is correct for this citation because the author of the citation expresses their opinion about the work ""Georgian Shoe Buckles"" by stating that it conveniently reinforces an image of buckles as showy and excessive. The author also mentions that subsequent shoe historians have re-quoted a misquotation from the work. These statements indicate the author's judgment and interpretation of the work, making the citation opinionated rather than neutral."
https://doi.org/10.1093/ehr/cead101,10,1,Reilly,Belsen,0,"Where historians have previously referred to the work of chaplains, they have largely focused on the role of Jewish chaplains, namely the Reverends Leslie Hardman and Isaac Levy.10 Both men wrote book-length memoirs of their experiences at Belsen, both became well-known members of the Anglo-Jewish community and were later appointed as rabbis of Hendon and Hampstead United synagogues respectively, and, as the large majority of survivors of Belsen were Jewish, it is appropriate that this is where historians have begun.11 However, at least thirty British Christian chaplains, attached to both combat and medical units, either witnessed the liberation, were involved in post-liberation care of survivors, or visited the camp at some point in the immediate aftermath.12","Citation:
Where historians have previously referred to the work of chaplains, they have largely focused on the role of Jewish chaplains, namely the Reverends Leslie Hardman and Isaac Levy. [CITATION-10] Both men wrote book-length memoirs of their experiences at Belsen, both became well-known members of the Anglo-Jewish community and were later appointed as rabbis of Hendon and Hampstead United synagogues respectively, and, as the large majority of survivors of Belsen were Jewish, it is appropriate that this is where historians have begun. [MASK]  However, at least thirty British Christian chaplains, attached to both combat and medical units, either witnessed the liberation, were involved in post-liberation care of survivors, or visited the camp at some point in the immediate aftermath.[MASK]

Title:
Belsen

Footnote:
Reilly, Belsen, p. 36; Shephard, After Daybreak, p. 70; J.M. Lewis, ‘“If All of the Sky were Paper”: The Jewish Chaplains at Bergen Belsen Concentration Camp. Part 1’, Jewish Historical Studies, no. 53 (2022), pp. 57–82. In this period it was common for rabbis to refer to themselves, and to be referred to, as ‘Reverend’: see, for example, ‘Obituary of Isaac Levy’, The Guardian, 3 May 2005, available at https://www.theguardian.com/news/2005/may/03/guardianobituaries.religion (accessed 1 Dec. 2022).

Label: neutral","The label ""neutral"" is appropriate for this citation because the author does not express any personal opinion or judgement about the quality of the cited work or the authors of the work. The citation simply provides historical information about the focus of previous historians on Jewish chaplains at Belsen and mentions the existence of British Christian chaplains as well. The author presents this information without any subjective evaluation or bias, making the citation neutral in nature."
https://doi.org/10.1093/ehr/cead101,10,2,Shephard,After Daybreak,0,"Where historians have previously referred to the work of chaplains, they have largely focused on the role of Jewish chaplains, namely the Reverends Leslie Hardman and Isaac Levy.10 Both men wrote book-length memoirs of their experiences at Belsen, both became well-known members of the Anglo-Jewish community and were later appointed as rabbis of Hendon and Hampstead United synagogues respectively, and, as the large majority of survivors of Belsen were Jewish, it is appropriate that this is where historians have begun.11 However, at least thirty British Christian chaplains, attached to both combat and medical units, either witnessed the liberation, were involved in post-liberation care of survivors, or visited the camp at some point in the immediate aftermath.12",,
https://doi.org/10.1093/ehr/cead101,10,3,J.M. Lewis,“If All of the Sky were Paper”: The Jewish Chaplains at Bergen Belsen Concentration Camp. Part 1,0,"Where historians have previously referred to the work of chaplains, they have largely focused on the role of Jewish chaplains, namely the Reverends Leslie Hardman and Isaac Levy.10 Both men wrote book-length memoirs of their experiences at Belsen, both became well-known members of the Anglo-Jewish community and were later appointed as rabbis of Hendon and Hampstead United synagogues respectively, and, as the large majority of survivors of Belsen were Jewish, it is appropriate that this is where historians have begun.11 However, at least thirty British Christian chaplains, attached to both combat and medical units, either witnessed the liberation, were involved in post-liberation care of survivors, or visited the camp at some point in the immediate aftermath.12",,
https://doi.org/10.1093/ehr/cead101,10,4,,"‘Obituary of Isaac Levy’, The Guardian, 3 May 2005",0,"Where historians have previously referred to the work of chaplains, they have largely focused on the role of Jewish chaplains, namely the Reverends Leslie Hardman and Isaac Levy.10 Both men wrote book-length memoirs of their experiences at Belsen, both became well-known members of the Anglo-Jewish community and were later appointed as rabbis of Hendon and Hampstead United synagogues respectively, and, as the large majority of survivors of Belsen were Jewish, it is appropriate that this is where historians have begun.11 However, at least thirty British Christian chaplains, attached to both combat and medical units, either witnessed the liberation, were involved in post-liberation care of survivors, or visited the camp at some point in the immediate aftermath.12",,
https://doi.org/10.1093/ehr/cead101,21,1,"D. Cesarani and E.J. Sundquist, eds",After the Holocaust: Challenging the Myth of Silence,0,"Restoring Christian chaplains to the history of Belsen contributes to three critical areas of historical study. First, their pastoral care for survivors gives a new insight into an important aspect of the post-liberation rehabilitation of Belsen survivors and demonstrates how army chaplains adapted their understanding of their own responsibilities in such unique circumstances. The neglect of Belsen has been a significant omission in studies of army chaplaincy in the Second World War.19 Secondly, this study contributes a new understanding of Christian responses to the Holocaust, demonstrating that when Christian ministers encountered for themselves the individuals who had experienced the realities of Nazi persecution, they were more likely to comprehend the specific anti-Jewish nature of Nazi policy. Although the question of how far their understanding was disseminated is unclear, these chaplains’ responses add nuance to the conclusions of historians such as Tony Kushner and Tom Lawson, who have pointed to the example of the Church of England to conclude that the revelations from the Western concentration camps did not alter British society’s inability fully to appreciate the anti-Jewish nature of Nazi persecution.20 Finally, in analysing for the first time the written records of the chaplains themselves, this study provides new evidence of immediate post-liberation recognition of the importance of survivor testimony, challenging what David Cesarani called the ‘myth of silence’, the suggestion that survivor experience was absent from the narrative following liberation.21 In sharing testimony, some chaplains reveal a degree of sensitivity to some women’s experiences of sexual violence during the Holocaust, for example, suggesting that some chaplains understood how Nazi persecution was experienced in distinct ways by women—an aspect of the Holocaust which even in historical scholarship has only relatively recently been given due attention.22","Citation:
Finally, in analysing for the first time the written records of the chaplains themselves, this study provides new evidence of immediate post-liberation recognition of the importance of survivor testimony, challenging what David Cesarani called the ‘myth of silence’, the suggestion that survivor experience was absent from the narrative following liberation.[CITATION-21] In sharing testimony, some chaplains reveal a degree of sensitivity to some women’s experiences of sexual violence during the Holocaust, for example, suggesting that some chaplains understood how Nazi persecution was experienced in distinct ways by women—an aspect of the Holocaust which even in historical scholarship has only relatively recently been given due attention.[MASK]

Title:
After the Holocaust: Challenging the Myth of Silence

Footnote:
D. Cesarani and E.J. Sundquist, eds, After the Holocaust: Challenging the Myth of Silence (London, 2011).

Label: neutral","The label ""neutral"" is correct because the citation describes the content and findings of the study without expressing a judgment on its quality or the authors' work. It simply states what the study provides (new evidence) and what it suggests about the chaplains' sensitivity and understanding, without offering an opinion on the significance, quality, or impact of these findings. The focus is on the contribution to the field, not on evaluating that contribution."
https://doi.org/10.1093/ehr/cead101,60,1,Reilly,Belsen,1,Contemporary narratives of the liberation of Bergen-Belsen often contained few references to Jews and Jewish experiences of persecution. Historians have explored how the context of the liberation in the last weeks before Germany’s final defeat obscured knowledge of the eastern death camps such as Auschwitz. It has been suggested that Belsen was absorbed into what was already known about pre-war camps and not understood for its place within the escalation of Nazi persecution. The extent of the horrors revealed there meant that Belsen became the ultimate evidence of the evil of Nazism. The timing of its liberation close to the end of war in Europe contributed to its swift adoption as the symbol of the British role in defeating such evil.59 Joanne Reilly has noted that few of the soldier liberators of Belsen were able to comprehend something which was so horrific and therefore they could not understand its place within anything wider that would become known as the Holocaust.60 The Jewish story was neglected.,"Citation:
Contemporary narratives of the liberation of Bergen-Belsen often contained few references to Jews and Jewish experiences of persecution. Historians have explored how the context of the liberation in the last weeks before Germany’s final defeat obscured knowledge of the eastern death camps such as Auschwitz. It has been suggested that Belsen was absorbed into what was already known about pre-war camps and not understood for its place within the escalation of Nazi persecution. The extent of the horrors revealed there meant that Belsen became the ultimate evidence of the evil of Nazism. The timing of its liberation close to the end of war in Europe contributed to its swift adoption as the symbol of the British role in defeating such evil. [MASK] Joanne Reilly has noted that few of the soldier liberators of Belsen were able to comprehend something which was so horrific and therefore they could not understand its place within anything wider that would become known as the Holocaust.[CITATION-60] The Jewish story was neglected.

Title:
Belsen

Footnote:
Reilly, Belsen, p. 33.

Label: opinionated","The label ""opinionated"" is correct because the author of the citation expresses a judgment about the comprehension and reactions of the soldier liberators of Belsen, stating they ""were able to comprehend something which was so horrific and therefore they could not understand its place within anything wider that would become known as the Holocaust."" This statement evaluates the soldiers' understanding and emotional capacity to grasp the events, implying a limitation or failure in their response. The author's assessment of the soldiers' reactions and the neglect of the Jewish story introduces a subjective viewpoint, making the citation opinionated."
https://doi.org/10.1093/ehr/cead024,1,1,W.R. Brock,"Lord Liverpool and Liberal Toryism, 1820–1827",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1","Citation:
Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.[Citation]

Title:
Lord Liverpool and Liberal Toryism, 1820–1827

Footnote:
On the question of the relationship between Liverpool’s ministry and liberalism, a foundational work is W.R. Brock, Lord Liverpool and Liberal Toryism, 1820–1827 (2nd edn, London, 1967). Brock’s link between liberal Toryism and classical political economy has been extensively questioned by Boyd Hilton’s emphasis on evangelicalism, most especially in B. Hilton, The Age of Atonement: The Influence of Evangelicalism on Social and Economic Thought, 1795–1865 (Oxford, 1988); and with some adjustments in B. Hilton, A Mad, Bad, and Dangerous People? England, 1783–1846 (Oxford, 2006). For an alternative view, see N. Gash, review of Hilton, Age of Atonement, in English Historical Review, civ (1989), pp. 136–40; N. Gash, Lord Liverpool: The Life and Political Career of Robert Banks Jenkinson, Second Earl of Liverpool, 1770–1828 (London, 1984); and N. Gash, Aristocracy and People: Britain, 1815–1865 (Cambridge, MA, 1979). An astute assessment of the tactical deployment of Liberal Tory ideas and their relation to economic reform can be found in P. Harling, The Waning of ‘Old Corruption’: The Politics of Economical Reform in Britain, 1779–1846 (Oxford, 1996). John Derry gives a lucid overview of the period, and rightly emphasises Liverpool’s pragmatism in Politics in the Age of Fox, Pitt and Liverpool (London, 1990). S.M. Lee, George Canning and Liberal Toryism, 1801–1827 (Suffolk, 2008) emphasises both the particularity of this early nineteenth-century moment and frames the division between High and Liberal Tories as a spectrum rather than a simple binary. S.P. Lamont’s ‘Robert Wilmot Horton and Liberal Toryism’ (Univ. of Nottingham Ph.D. thesis, 2015) is a rare example of the scholarship’s engagement with empire.

Label: opinionated","The label ""opinionated"" is correct because the citation includes evaluative language and judgments about the works and authors it discusses. Phrases like ""Brock’s link between liberal Toryism and classical political economy has been extensively questioned,"" ""an astute assessment,"" and ""John Derry gives a lucid overview of the period, and rightly emphasises Liverpool’s pragmatism"" indicate the author's approval or disapproval of the perspectives and quality of the cited works. These assessments go beyond mere description, offering opinions on the validity, insightfulness, and correctness of the interpretations presented in the cited literature."
https://doi.org/10.1093/ehr/cead024,1,2,B. Hilton,"The Age of Atonement: The Influence of Evangelicalism on Social and Economic Thought, 1795–1865",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1",,
https://doi.org/10.1093/ehr/cead024,1,3,B. Hilton,"A Mad, Bad, and Dangerous People? England, 1783–1846",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1",,
https://doi.org/10.1093/ehr/cead024,1,4,N. Gash,"review of Hilton, Age of Atonement",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1",,
