doi,footnote,subset,author/s,title,label,paragraph
https://doi.org/10.1093/ehr/cead105,1,1,W.L. Cleveland,Islam against the West: Shakib Arslan and the Campaign for Islamic Nationalism,1,"According to William Cleveland’s study of Shakib Arslan’s anti-imperialist struggle, Arslan’s sentiments were accurately reflected in the letter. Cleveland speculates, as did many of Arslan’s contemporaries, that financial distress motivated Arslan’s sudden turn to support Mussolini.1 Indeed, Arslan complained to correspondents about his finances.2 His rapprochement with Italy was a response to Mussolini’s campaign to promote Fascist ideology and pro-Italian sentiment throughout the eastern Mediterranean. To support Italian ambitions for both spiritual and material expansion, propaganda recruited local support through radio broadcasts, newspapers, student exchanges, cultivating elite support and other activities. It sought to ‘challenge the British imperial and mandatory system from within’. To that end, Italy strengthened bonds with anti-colonial movements in British and French-held territory. Although some British officials were dismissive, those who were alarmed still lacked the means to contain Italian influence.3"
https://doi.org/10.1093/ehr/cead105,31,1,M. Kabha,"The Palestinian Press as Shaper of Public Opinion, 1929–39: Writing up a Storm",1,"Many scholars have studied the role of the Palestinian press in national activity and factional conflict.31 Palestinian newspapers emerged from the early nationalist or proto-nationalist movement of the late Ottoman period. They were typically owned by notable families and leaned towards nationalism, but also tended to represent the specific interest of the owning family."
https://doi.org/10.1093/ehr/cead102,12,1,B. Hughes and T. Hughes,Georgian Shoe Buckles,1,"Since these narratives maintain that display was problematic for men, historians have tended to associate buckles with foppery. Buckles feature prominently in studies of the ‘macaronis’, the fashion-obsessed men named after the pasta dish that they supposedly brought back from the Grand Tour—along with other foreign styles and vices.11 The shoe historians Bernard and Therle Hughes deployed an extract from The London Spy (1698), in which city beaus wear ‘Shoes black as Jet, which shin’d by much Rubbing … displayed Buckles preserv’d bright in a Box of Cotton, that they dazzled the Eyes of each Beholder like a piece of Looking-Glass in the Sunshine’.12 This passage has been re-quoted by subsequent shoe historians, since it conveniently reinforces the image of buckles as showy and excessive, but it is in fact a misquotation: the original passage instead refers to black boots (which did not have buckles) and shiny spurs.13 The focus on foppery has obscured the extent to which buckles featured in mainstream masculine wear, and indeed could be considered manly. This article therefore re-examines the relationship between men and their buckles. It begins by exploring the history of buckles, establishing that their meanings were complex and subject to change. It then considers buckles as material artefacts, and concludes by exploring their implications for masculinity. We will see how the shoe buckle complicates our current understanding of the relationship between masculinity, effeminacy and luxury consumer goods, and furthermore that it played a role in wider shifts in the nature of social identity."
https://doi.org/10.1093/ehr/cead101,10,1,Reilly,Belsen,1,"Where historians have previously referred to the work of chaplains, they have largely focused on the role of Jewish chaplains, namely the Reverends Leslie Hardman and Isaac Levy.10 Both men wrote book-length memoirs of their experiences at Belsen, both became well-known members of the Anglo-Jewish community and were later appointed as rabbis of Hendon and Hampstead United synagogues respectively, and, as the large majority of survivors of Belsen were Jewish, it is appropriate that this is where historians have begun.11 However, at least thirty British Christian chaplains, attached to both combat and medical units, either witnessed the liberation, were involved in post-liberation care of survivors, or visited the camp at some point in the immediate aftermath.12"
https://doi.org/10.1093/ehr/cead101,10,2,Shephard,After Daybreak,1,"Where historians have previously referred to the work of chaplains, they have largely focused on the role of Jewish chaplains, namely the Reverends Leslie Hardman and Isaac Levy.10 Both men wrote book-length memoirs of their experiences at Belsen, both became well-known members of the Anglo-Jewish community and were later appointed as rabbis of Hendon and Hampstead United synagogues respectively, and, as the large majority of survivors of Belsen were Jewish, it is appropriate that this is where historians have begun.11 However, at least thirty British Christian chaplains, attached to both combat and medical units, either witnessed the liberation, were involved in post-liberation care of survivors, or visited the camp at some point in the immediate aftermath.12"
https://doi.org/10.1093/ehr/cead101,10,3,J.M. Lewis,“If All of the Sky were Paper”: The Jewish Chaplains at Bergen Belsen Concentration Camp. Part 1,1,"Where historians have previously referred to the work of chaplains, they have largely focused on the role of Jewish chaplains, namely the Reverends Leslie Hardman and Isaac Levy.10 Both men wrote book-length memoirs of their experiences at Belsen, both became well-known members of the Anglo-Jewish community and were later appointed as rabbis of Hendon and Hampstead United synagogues respectively, and, as the large majority of survivors of Belsen were Jewish, it is appropriate that this is where historians have begun.11 However, at least thirty British Christian chaplains, attached to both combat and medical units, either witnessed the liberation, were involved in post-liberation care of survivors, or visited the camp at some point in the immediate aftermath.12"
https://doi.org/10.1093/ehr/cead101,21,1,"D. Cesarani and E.J. Sundquist, eds",After the Holocaust: Challenging the Myth of Silence,1,"Restoring Christian chaplains to the history of Belsen contributes to three critical areas of historical study. First, their pastoral care for survivors gives a new insight into an important aspect of the post-liberation rehabilitation of Belsen survivors and demonstrates how army chaplains adapted their understanding of their own responsibilities in such unique circumstances. The neglect of Belsen has been a significant omission in studies of army chaplaincy in the Second World War.19 Secondly, this study contributes a new understanding of Christian responses to the Holocaust, demonstrating that when Christian ministers encountered for themselves the individuals who had experienced the realities of Nazi persecution, they were more likely to comprehend the specific anti-Jewish nature of Nazi policy. Although the question of how far their understanding was disseminated is unclear, these chaplains’ responses add nuance to the conclusions of historians such as Tony Kushner and Tom Lawson, who have pointed to the example of the Church of England to conclude that the revelations from the Western concentration camps did not alter British society’s inability fully to appreciate the anti-Jewish nature of Nazi persecution.20 Finally, in analysing for the first time the written records of the chaplains themselves, this study provides new evidence of immediate post-liberation recognition of the importance of survivor testimony, challenging what David Cesarani called the ‘myth of silence’, the suggestion that survivor experience was absent from the narrative following liberation.21 In sharing testimony, some chaplains reveal a degree of sensitivity to some women’s experiences of sexual violence during the Holocaust, for example, suggesting that some chaplains understood how Nazi persecution was experienced in distinct ways by women—an aspect of the Holocaust which even in historical scholarship has only relatively recently been given due attention.22"
https://doi.org/10.1093/ehr/cead101,60,1,Reilly,Belsen,1,Contemporary narratives of the liberation of Bergen-Belsen often contained few references to Jews and Jewish experiences of persecution. Historians have explored how the context of the liberation in the last weeks before Germany’s final defeat obscured knowledge of the eastern death camps such as Auschwitz. It has been suggested that Belsen was absorbed into what was already known about pre-war camps and not understood for its place within the escalation of Nazi persecution. The extent of the horrors revealed there meant that Belsen became the ultimate evidence of the evil of Nazism. The timing of its liberation close to the end of war in Europe contributed to its swift adoption as the symbol of the British role in defeating such evil.59 Joanne Reilly has noted that few of the soldier liberators of Belsen were able to comprehend something which was so horrific and therefore they could not understand its place within anything wider that would become known as the Holocaust.60 The Jewish story was neglected.
https://doi.org/10.1093/ehr/cead024,1,1,W.R. Brock,"Lord Liverpool and Liberal Toryism, 1820–1827",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,2,B. Hilton,"The Age of Atonement: The Influence of Evangelicalism on Social and Economic Thought, 1795–1865",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,3,B. Hilton,"A Mad, Bad, and Dangerous People? England, 1783–1846",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,4,N. Gash,"review of Hilton, Age of Atonement",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,5,N. Gash,"Lord Liverpool: The Life and Political Career of Robert Banks Jenkinson, Second Earl of Liverpool, 1770–1828",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,7,N. Gash,"Aristocracy and People: Britain, 1815–1865",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,8,P. Harling,"The Waning of ‘Old Corruption’: The Politics of Economical Reform in Britain, 1779–1846",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,9,John Derry,"Politics in the Age of Fox, Pitt and Liverpool",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,10,S.M. Lee,"George Canning and Liberal Toryism, 1801–1827",1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
https://doi.org/10.1093/ehr/cead024,1,11,S.P. Lamont,Robert Wilmot Horton and Liberal Toryism,1,"Lord Liverpool’s ministry (1812–27) has long proved fascinating to historians of British politics. Led by a man not noted for his charisma and constantly challenged by internal divisions, the regime enjoyed unlikely longevity amid the political upheaval between the Napoleonic Wars and the Great Reform Act. Apparently riddled with contradictions, it embraced authoritarianism in the face of global revolution at the same time as it undertook significant social and legal reforms. It was a government that crushed dissent and deployed military violence on a large scale to manage domestic unrest, most notoriously in the Peterloo Massacre of 1819. Yet it also oversaw a raft of improvements targeting corruption, the wrong sort of patronage and post-war spending, while shifting gears on finance, the penal system and foreign policy. Scholars have struggled to discern the convictions of its leaders and the vagaries of its policies, particularly in relation to questions of liberalism and reform.1"
