footnote,author,title,label
1,"Schroeder, P.W.",The 19th-Century International System: Changes in the Structure’,1
2,"Ozavci, O.","Dangerous Gifts: Imperialism, Security, and Civil Wars in the Levant, 1798–1864",0
3,"Schumacher, L.R.",The Eastern Question as a Europe Question: Viewing the Ascent of “Europe” Through the Lens of Ottoman Decline’,0
3,"Frary, L.J. and Kozelsky, M.",Russian–Ottoman Borderlands: The Eastern Question Reconsidered,0
4,"Anderson, M.S.","The Eastern Question, 1774–1923: A Study in International Relations",0
4,"Roider, K.A.","Jr, Austria’s Eastern Question",0
5,"Kaunitz, Thugut","quoted in Roider, Austria’s Eastern Question",1
6,"Jarrett, M.",The Congress of Vienna and its Legacy: War and Great Power Diplomacy after Napoleon,1
6,"Zamoyski, A.",Rites of Peace: The Fall of Napoleon and the Congress of Vienna,0
6,"Vick, B.E.",The Congress of Vienna: Power and Politics after Napoleon,1
6,"Schroeder, P.W.",The Transformation of European Politics,0
7,"Adanır, F.",Turkey’s Entry into the Concert of Europe’,1
7,"Bitis, A.","Russia and the Eastern Question: Army, Government, and Society, 1815–1833",0
7,"Ingram, E.",Bellicism as Boomerang: The Eastern Question during the Vienna System’,1
9,"Paşa, Ahmed Cevdet",Tarih-i Cevdet III,1
10,"Menchinger, E.L.",The First of the Modern Ottomans: The Intellectual History of Ahmed Vasif,1
10,"Ozavci, Dangerous Gifts",,1
11,"Duchhardt, H.",Friedenswahrung im 18. Jahrhundert’,0
11,"Adanır and Göçek, F.M.",Turkey’s Entry’,0
12,Ozavci,Dangerous Gifts,1
13,"Beydilli, K.",III. Selim: Aydınlanmış Hükümdar’,0
14,"ibid and Karsh, E. and Karsh, I.","Empires of the Sand: The Struggle for Mastery in the Middle East, 1789–1923",0
15,"Yeşil, F.",İstanbul Önlerinde Bir İngiliz Filosu’,1
16,Beydilli,III,1
17,"Fadeev, A.V.",Bukharestskii mir 1812 goda i vopros o kavkazskikh granitsakh’,0
17,Bitis,Russia and the Eastern Question,0
18,"Ismail, F.","The Making of the Treaty of Bucharest, 1811–12’",0
19,"Ismail, F.","The Making of the Treaty of Bucharest, 1811–12’",1
19,,,1
20,London,,1
20,Edinburgh,National Library of Scotland [hereafter NLS,0
20,"Cunningham, A.",Anglo-Ottoman Encounters in the Age of Revolution: Collected Essays,1
21,Bitis,Russia and the Eastern Question,0
22,Bitis,Russia and the Eastern Question,0
23,Kew,The National Archives [hereafter TNA,0
24,"Wilson, Robert","Private Diary of Travels, Personal Services and Public Events, during Mission and Employment with the European Armies in the Campaigns of 1812, 1813, 1814",0
25,Paris,Centre des Archives diplomatiques de La Courneuve,0
26,N.L.S.,"MS 5627, fo. 57, Liston to Castlereagh",0
27,N.L.S.,"MS 5628, fo. 3, Liston to Castlereagh, 10 Feb",0
28,N.L.S.,"MS 5627, fo. 99, Liston to Castlereagh",0
29,N.L.S.,"MS 5627, fo. 99, Liston to Castlereagh",0
30,T.N.A.,"FO 78/82/25, Liston to Castlereagh",0
31,A.M.A.E.,"133CP/229/166, Angelos to Talleyrand",1
32,N.L.S.,"MS 5627, fo. 99, Liston to Castlereagh",1
33,N.L.S.,"MS 5628, fo. 30, Liston to Castlereagh",0
34,T.N.A.,"FO 78/82, Liston to Castlereagh",0
35,"V, Tarih-i Cevdet",,0
35,T.N.A.,"FO 78/82/61, Liston to Castlereagh",0
35,,On Halet’s influence in the Topkapı Palace,0
