footnote,author,title,label
1,Times,11 Mar. 1899,1
2,Quoted in J.C.G. Röhl,Wilhelm II: The Kaiser’s Personal Monarchy,1
3,J.E. Flint,Cecil Rhodes ,1
3, also R. McFarlane,ʻHistoriography of Selected Works on Cecil John Rhodes ,1
3,R.I. Rotberg,The Founder: Cecil Rhodes and the Pursuit of Power ,1
3,Notably J.G. Lockhart and C.M. Woodhouse,Cecil Rhodes: The Colossus of Southern Africa ,1
4,E.g. Berliner Zeitung,11 Mar. 1899,1
5,Vingtième Siècle,11 May 1899,0
5,L. Reinermann,Der Kaiser in England: Wilhelm II. und sein Bild in der britischen Öffentlichkeit ,0
6,Vorwärts,3 Nov. 1908,0
7,P. Jourdan,Cecil Rhodes: His Private Life by his Private Secretary ,0
7,British Documents on the Origins of the War,1898–1914: The End of British Isolation,0
8, also B. van Waarden,ʻDemands of a Transnational Public Sphere: The Diplomatic Conflict between Joseph Chamberlain and Bernhard von Bülow and how the Mass Press Shaped Expectations for Mediatized Politics around the Turn of the Twentieth Centuryʼ,0
9,P. Maylam,The Cult of Rhodes: Remembering an Imperialist in Africa ,1
10,E. Berenson and E. Giloi,eds,1
10,R. van Krieken,Celebrity Society ,1
10,B. van Waarden,ʻAppearance over Substance? Mediatised Celebrity Politics through Timeʼ,0
10,A. Lilti,The Invention of Celebrity,1
10,M.D. Garval,Cléo de Mérode and the Rise of Modern Celebrity Culture ,0
11,also D.M. West and J.M. Orman,Celebrity Politics ,1
11,M. Wheeler,Celebrity Politics: Image and Identity in Contemporary Political Communications ,1
11,D. Marsh,P. ’t Hart and K. Tindall,1
11,Notably P.D. Marshall,Celebrity and Power: Fame in Contemporary Culture ,1
12,J. Gallagher and R. Robinson,ʻThe Imperialism of Free Tradeʼ,0
12,J. Darwin,ʻImperialism and the Victorians: The Dynamics of Territorial Expansionʼ,0
13,S.J. Potter,ʻJingoism,1
13,E. Berenson,Heroes of Empire: Five Charismatic Men and the Conquest of Africa ,1
13,R. Clarke,ed.,1
13,B. Sèbe,Heroic Imperialists in Africa: The Promotion of British and French Colonial Heroes,1
14,A. Griffiths,The New Journalism,0
15,C. Rojek,ʻCourting Fame: The Monarchy and Celebrity Cultureʼ,1
16,An individual benefits from hereditary charisma or Erbcharisma by being born into a family of status,in this case the monarchy. He or she derives charisma of office or Amtscharisma from occupying a position within an institution of status. While the latter is usually applied to religious offices,0
17,J. Plunkett,Queen Victoria: First Media Monarch ,1
17,F.L. Müller,Our Fritz: Emperor Frederick III and the Political Culture of Imperial Germany ,1
17,M.M. Schneider,The ‘Sailor Prince’ in the Age of Empire: Creating a Monarchical Brand in Nineteenth-Century Europe ,1
18,M. Kohlrausch,ʻThe Workings of Royal Celebrity: Wilhelm II as Media Emperorʼ,1
18,also C. Clark,William II: The Last Kaiser ,1
18,D. Petzold,Der Kaiser und das Kino: Herrschaftsinszenierung,1
18,B. van Waarden,ʻPublic Politics: The Coming of Age of the Media Politician in a Transnational Communicative Space,1
18,M. Loiperdinger,ʻKaiser Wilhelm II: Der erste deutsche Filmstarʼ,1
