footnote,author,title,label
1,J.E. Cronin,The Politics of State Expansion: War,1
2,P. Scott and J.T. Walker,‘The Comfortable,0
3,P. Baldwin,Contagion and the State in Europe,1
4,J.H.N. Pearce,‘Great Western Railway Co. v. Bater ,0
5,M.J. Daunton,‘Payment and Participation: Welfare and State-Formation in Britain,0
6,M.J. Daunton,‘Payment and Participation: Welfare and State-Formation in Britain,0
7,M.J. Daunton,Just Taxes: The Politics of Taxation in Britain,1
8,M.J. Daunton,Just Taxes: The Politics of Taxation in Britain,0
9,Scott and Walker,‘Comfortable,0
10,J. Hollis and C. McKenna,‘The Emergence of the Offshore Economy,1
11,TNA,CAB 27/338,0
12,TNA,CAB 27/338,0
13,M.J. Daunton,‘How to Pay for the War: State,0
14,M.J. Daunton,‘How to Pay for the War: State,0
15,Daunton,Just Taxes,1
16,M.J. Daunton,‘Thomas Gibson Bowles v. Bank of England ,1
17,Daunton,‘How to Pay for the War’,1
18,Daunton,‘How to Pay for the War’,1
19,Cited in J. Hollis and C. McKenna,‘Union Cold Storage and the Birth of Multinational Tax Planning,1
20,Cited in J. Hollis and C. McKenna,‘Union Cold Storage and the Birth of Multinational Tax Planning,1
21,TNA,IR 40/3476,0
22,TNA,CAB 27/338,0
23,Daunton,‘How to Pay for the War’,0
24,TNA,IR 75/36,0
25,TNA,IR 40/6187,0
26,R. Stevens,Law and Politics: The House of Lords as a Judicial Body,1
26,Lord Halsbury,quoted in A.A. Paterson,1
27,R. Stevens,The English Judges: Their Role in the Changing Constitution ,1
28,A.A. Paterson,‘Power and Judicial Appointment: Squaring the Impossible Circle’,1
29,Paterson,‘Judges: A Political Elite?’,0
29,R. Stevens,English Judges,0
30,Stevens,Law and Politics,1
31,Stevens,Law and Politics,0
32,A. Likhovski,‘Tax Law and Public Opinion: Explaining IRC v. Duke of Westminster’,1
33,Attorney General v. Duke of Richmond and Gordon [1909] A.C. 466,discussed in Likhovski,1
34,P. Scott,The Market Makers: Creating Mass Markets for Consumer Durables in Inter-war Britain ,0
