footnote,author,title,label
1,P.W. Schroeder,The 19th-Century International System: Changes in the Structure’,0
2,O. Ozavci,"Dangerous Gifts: Imperialism, Security, and Civil Wars in the Levant",0
3,L.R. Schumacher,The Eastern Question as a Europe Question: Viewing the Ascent of,0
3,,” Through the Lens of Ottoman Decline’,0
3,L.J. Fraryand M. Kozelsky,Russian–Ottoman Borderlands: The Eastern Question Reconsidered,0
4,"K.A. Roider, Jr",Eastern Question,0
4,M.S. Anderson,"The Eastern Question, 1774–1923: A Study in International Relations",0
5,Roider,Austria’s Eastern Question,1
6,B. de Graafand I. de Haanand B. Vick,Securing Europe after Napoleon: 1815 and the New European Security Culture,0
6,B.E. Vick,The Congress of Vienna: Power and Politics after Napoleon,0
6,M. Šedivý,"Metternich, the Great Powers and the Eastern Question",0
6,A. Zamoyski,Rites of Peace: The Fall of Napoleon and the Congress of Vienna,1
6,M. Jarrett,The Congress of Vienna and its Legacy: War and Great Power Diplomacy after Napoleon,1
6,P.W. Schroeder,The Transformation of European Politics,0
7,E. Ingram,Bellicism as Boomerang: The Eastern Question during the Vienna System’,1
7,,–1833,1
7,F. Adanır,Turkey’s Entry into the Concert of Europe’,1
7,A. Bitis,"Russia and the Eastern Question: Army, Government, and Society",1
7,P. Krügerand P. Schroeder,"The Transformation of European Politics, 1763–1848: Episode or Model in Modern History?",1
9,Ahmed Cevdet Paşa,Tarih-i Cevdet III,1
10,E.L. Menchinger,The First of the Modern Ottomans: The Intellectual History of Ahmed Vasif,1
10,Ozavci,Dangerous Gifts,1
11,H. Duchhardt,Friedenswahrung im 18,0
11,Adanır,Turkey’s Entry’,0
11,F.M. Göçek,East Encounters West,0
12,Ozavci,Dangerous Gifts,1
13,S. Kenan,Nizam-ı Cedid’e,1
13,K. Beydilli,III. Selim: Aydınlanmış Hükümdar’,1
13,,III. Selim ve Dönemi,0
14,Napoleonand Talleyrandand E. Karshand I. Karsh,Empires of the Sand: The Struggle for Mastery in the Middle East,0
14,,1789–1923,0
15,F. Yeşil,İstanbul Önlerinde Bir İngiliz Filosu’,1
15,Kenan,ve Dönemi,1
16,Beydilli,III. Selim’,1
17,A.V. Fadeev,Bukharestskii mir 1812,0
17,,zapiski,0
17,Bitis,Russia and the Eastern Question,0
18,F. Ismail,The Making of the Treaty of Bucharest,0
19,F. Ismail,The Making of the Treaty of Bucharest,1
20,A. Cunningham,Anglo-Ottoman Encounters in the Age of Revolution: Collected Essays,1
21,Bitis,Russia and the Eastern Question,0
22,Bitis,Russia and the Eastern Question,0
24,Robert Wilson,"Private Diary of Travels, Personal Services and Public Events",0
31,AMAEand B. Lewis,The Muslim Discovery of Europe,1
35,,Tarih-i Cevdet V,0
37,H. Yilmaz,The Eastern Question and the Ottoman Empire: The Genesis of the Near and Middle East in the Nineteenth Century’,0
37,M.E. Bonineand A. Amanatand M.E. Gasper,Is there a Middle East? The Evolution of a Geopolitical Concept,0
37,R. Blaufarb,The Western Question: The Geopolitics of Latin American Independence’,0
39,Metternich,"Šedivý,",0
45,,Dépêches inédites du Chevalier,1
45,de Gentz,aux Hospodars de Valachie,0
46,,DI,0
48,,Tarih-i Cevdet V,1
48,M.S. Palabıyık,The Idea of “International Law” in,1
49,,Tarih-i Cevdet V,0
52,,V,0
53,Willem I,in their Quest for an Alternative European Order,0
53,B. de Graaf,Second-tier Diplomacy: Hans,0
53,von Gagern,and,0
57,Adanır,‘Turkey’s Entry’,1
58,,DI,0
59,Schroeder,Transformation,1
60,,DI,1
64,B.E. Vick,The Congress of Vienna: Power and Politics after Napoleon,0
67,B. de Graaf,The Allied Machine’,1
67,De Graafand De Haan and Vicks,Securing Europe After Napoleon,0
70,M.S. Kütükoğlu,Tanzimat Devri Osmanlı-İngiliz Gümrük Tarifeleri’,0
71,,DI,0
71,,Gentz to Caradja,0
72,Zamoyski,Rites of Peace,1
72,Schroeder,Transformation,1
74,,VPR,0
75,Schroeder,Transformation,1
76,,DI,0
78,Schroeder,Transformation,1
79,,1812–1815: Britain and the Reconstruction of Europe,0
79,C.K. Webster,The Foreign Policy of Castlereagh,0
81,C.K. Webster,Foreign Policy of Castlereagh,0
94,Cunningham,Anglo-Ottoman Encounters,1
102,B. de Graaf,Fighting Terror after Napoleon: How Europe Became Secure after 1815,0
103,,DI,1
104,C. Reus-Smit,The Politics of International Law,1
104,,The Politics of International Law,1
105,M. Koskenniemi,International Law and Hegemony: A Reconfiguration’,1
106,Ozavci,Dangerous Gifts,0
106,Bitis,the Eastern Question,0
106,W. Smiley,"War Without War: The Battle of Navarino, the Ottoman Empire, and the Pacific Blockade’",0
107,E. de Lange,The Congress System and the French Invasion of Algiers,0
107,Ercüment Kuran,Karşısında Osmanlı,0
108,Ozavci,Dangerous Gifts,1
