footnote_number,generated_context,footnote_text,label
1,"The end of the nineteenth century marked a significant shift in politics, where political figures had to adapt to the changing landscape of media attention. This shift not only paved the way for the rise of figures like Cecil Rhodes but also laid the foundation for the subsequent criticism of his cult and its association with racism in recent times. As the Times reported, ""Among the most picturesque incidents of an age of intercommunication must be reckoned the visit of Mr. Rhodes to Berlin"" [CITATION-1].","Times, 11 Mar. 1899, p. 11.",1
2,Wilhelm II's condemnation of Cecil Rhodes as a 'monstrous villain' in response to the Jameson Raid into Transvaal [CITATION-2] reveals his strong disapproval of Rhodes' actions. This suggests that Wilhelm II held a negative opinion towards Rhodes and his involvement in the scandal.,"Quoted in J.C.G. Röhl, Wilhelm II: The Kaiser’s Personal Monarchy, 1888–1900 (Cambridge, 2004), p. 784.",1
3,"Between these idiosyncratic empire builders, and hailed it as an event of great political importance. Why did newspapers across different countries give so much attention, and consequently legitimacy, to Rhodes, who with the raid had embarrassed the British government and angered the international public, and who no longer occupied any official position? While there is a vast literature on Rhodes, this meeting is often mentioned merely in passing, if at all. This neglect is striking, given that the press heralded it as the political rehabilitation of Rhodes, an improvement in the troubled Anglo-German relationship, and a general transformation in international affairs. It is clear that the media's fascination with Rhodes and his actions has overshadowed the significance of this meeting.","Notably J.G. Lockhart and C.M. Woodhouse, Cecil Rhodes: The Colossus of Southern Africa (New York, 1963); J.E. Flint, Cecil Rhodes (London, 1976); R.I. Rotberg, The Founder: Cecil Rhodes and the Pursuit of Power (New York, 1989). For a useful overview, see also R. McFarlane, ʻHistoriography of Selected Works on Cecil John Rhodes (1853–1902)ʼ, History in Africa, xxxiv (2007), pp. 437–46.",1
4,"While there is a vast literature on Rhodes, this meeting is often mentioned merely in passing, if at all. This neglect is striking, given that the press heralded it as the political rehabilitation of Rhodes, an improvement in the troubled Anglo-German relationship, and a general transformation in international relations. It is clear that the significance of this meeting cannot be underestimated. [CITATION-4] Wilhelm II’s reception of Rhodes was interpreted by both British conservative newspapers and the Transvaal press as signalling the end of Germany’s support for the Boers—with whom the British","E.g. Berliner Zeitung, 11 Mar. 1899, ʻDeutsches Reichʼ, evening, p. 1.",1
5,"passing, if at all. This neglect is striking, given that the press heralded it as the political rehabilitation of Rhodes, an improvement in the troubled Anglo-German relationship, and a general transformation in international relations. It is clear that Wilhelm II’s reception of Rhodes had a significant impact on the diplomatic landscape, as it was interpreted by both British conservative newspapers and the Transvaal press as signalling the end of Germany’s support for the Boers—with whom the British subsequently went to war later in 1899. Even a decade later, German commentators still viewed this reception as a turning point in German diplomacy. Moreover, the meeting had a long-term influence on strengthening Anglo-German ties, as [CITATION-5] suggests.","Vingtième Siècle, 11 May 1899, ʻEtat d’Orangeʼ, p. 1; L. Reinermann, Der Kaiser in England: Wilhelm II. und sein Bild in der britischen Öffentlichkeit (Paderborn, 2001), pp. 185–6.",1
6,"The meeting between Wilhelm II and Rhodes had a significant impact on German diplomacy, as it marked a turning point in their relationship. This reception was seen as a signal that Germany was no longer supporting the Boers, which eventually led to the British going to war with them in 1899. German commentators still recognize this event as a crucial moment in history, highlighting its long-term influence on strengthening Anglo-German ties. [CITATION-6]","Vorwärts, 3 Nov. 1908, ʻDokumente der Unfähigkeitʼ, pp. 1–2.",1
7,"Even a decade later, German commentators still viewed this reception as a turning point in German diplomacy. Moreover, the meeting had a long-term influence on strengthening Anglo-German ties, as it was most likely the reason why Rhodes selected Germany to be the third power, alongside Britain and the United States, whose nationals would be eligible for the prestigious Rhodes Scholarships at the University of Oxford. This demonstrates the significant impact of Rhodes's Cape-to-Cairo negotiations on fostering international cooperation and academic exchange.","P. Jourdan, Cecil Rhodes: His Private Life by his Private Secretary (London, 1910), p. 77. Wilhelm II was honoured that he was allowed to choose the fifteen German scholars himself; see British Documents on the Origins of the War, 1898–1914: The End of British Isolation, ed. G.P. Gooch and H. Temperley (11 vols, London, 1927), i, p. 274 (Sir F. Plunkett to the Marquess of Lansdowne, 11 Apr. 1902).",1
8,"Ties between Germany and Rhodes were instrumental in the selection of Germany as the third power for the Rhodes Scholarships at the University of Oxford. This decision had far-reaching consequences, but even more significant is the insight it provides into the workings of politics in the emerging transnational public sphere of the late nineteenth century. [CITATION-8] Paul Maylam's analysis of the 'cult of Rhodes' demonstrates the lasting impact of Rhodes's legacy through various mediums such as hagiographies, monuments, memorials, universities, novels, and films. These efforts laid the groundwork for the international 'Rhodes phenomenon'.","On this new transnational public sphere, see also B. van Waarden, ʻDemands of a Transnational Public Sphere: The Diplomatic Conflict between Joseph Chamberlain and Bernhard von Bülow and how the Mass Press Shaped Expectations for Mediatized Politics around the Turn of the Twentieth Centuryʼ, European Review of History/Revue européenne d’histoire, xxvi (2019), pp. 476–504.",1
9,"Oxford. However, even more significant than these concrete outcomes is what Rhodes’s Cape-to-Cairo negotiations reveal about how politics operated within a new transnational public sphere in the closing decade of the nineteenth century. Paul Maylam has analysed the ‘cult of Rhodes’ that developed over the century after Rhodes’s death, through hagiographies, monuments, memorials, universities, novels and films—the precondition for the international ‘Rhodes Must Fall’ movement against racism of recent decades. Yet we are still left with questions about how the public image of Rhodes initially emerged and functioned during his lifetime, and what the role of the expanding mass. 

In my opinion, the international 'Rhodes Must Fall' movement is a necessary response to the glorification of an imperialist figure like Rhodes, as highlighted by P. Maylam in his book ""The Cult of Rhodes: Remembering an Imperialist in Africa"" (Cape Town, 2005).","P. Maylam, The Cult of Rhodes: Remembering an Imperialist in Africa (Cape Town, 2005).",1
10,"Political celebrities constitute focal points of attention, which reduce political complexity, give structure to political reality, and make politics meaningful to a broad public. This is evident in the rise of modern celebrity culture, as explored by scholars such as E. Berenson and E. Giloi in Constructing Charisma: Celebrity, Fame, and Power in Nineteenth-Century Europe (New York, 2010) and M.D. Garval in Cléo de Mérode and the Rise of Modern Celebrity Culture (New York, 2017). These studies highlight how the idea of informal power is shaped and disseminated through the influence of political figures in the media.","E. Berenson and E. Giloi, eds, Constructing Charisma: Celebrity, Fame, and Power in Nineteenth-Century Europe (New York, 2010); R. van Krieken, Celebrity Society (London, 2012), in particular pp. 98–118; A. Lilti, The Invention of Celebrity, 1750–1850 (Cambridge, 2017); M.D. Garval, Cléo de Mérode and the Rise of Modern Celebrity Culture (New York, 2017); B. van Waarden, ʻAppearance over Substance? Mediatised Celebrity Politics through Timeʼ, Contemporanea, xxviii, no. 3 (2018), pp. 1–5.",1
11,"press in Britain, but followed suit in Continental Europe, especially through high-circulation illustrated magazines such as thein Germany and thein France. While this culture centred on entertainment celebrities such as Sarah Bernhardt and Cléo de Mérode, it also provided a new public stage for political figures. Political celebrities constitute focal points of attention, which reduce political complexity, give structure to political reality, and make politics meaningful to a broad public. According to P.D. Marshall in his book ""Celebrity and Power: Fame in Contemporary Culture,"" the rise of celebrity politics has been a significant development in the twenty-first century, with the concept of ""celebrity colonialism"" gaining attention in recent scholarship. [CITATION-11] The idea of informal power and imperialism as a means of analysis goes back to the 1950s, but a sub-field studying ‘celebrity colonialism’ only emerged in twenty-first century scholarship.","Notably P.D. Marshall, Celebrity and Power: Fame in Contemporary Culture (Minneapolis, MN, 2014). See also D.M. West and J.M. Orman, Celebrity Politics (Englewood Cliffs, NJ, 2003); M. Wheeler, Celebrity Politics: Image and Identity in Contemporary Political Communications (Cambridge, 2013); D. Marsh, P. ’t Hart and K. Tindall, ʻCelebrity Politics: The Politics of the Late Modernity?ʼ, Political Studies Review, viii (2010), pp. 322–40.",1
12,"As Sarah Bernhardt and Cléo de Mérode, it also provided a new public stage for political figures. Political celebrities constitute focal points of attention, which reduce political complexity, give structure to political reality, and make politics meaningful to a broad public. However, it is important to critically examine the influence of political celebrities, as their popularity can sometimes overshadow the actual policies and actions they represent. The idea of informal power and imperialism as a means of analysis goes back to the 1950s, but a sub-field studying ‘celebrity colonialism’ only emerged in twenty-first century scholarship. This notion of celebrity colonialism suggests that colonial adventures and wars provided the public with stories that were exotic, but distant enough not to be threatening. Colonialism was generally [CITATION-12] J. Gallagher and R. Robinson, ʻThe Imperialism of Free Tradeʼ, Economic History Review, vi (1953), pp. 1–15; J. Darwin, ʻImperialism and the Victorians: The Dynamics of Territorial Expansionʼ, English Historical Review, cxii (1997), pp. 614–42.","J. Gallagher and R. Robinson, ʻThe Imperialism of Free Tradeʼ, Economic History Review, vi (1953), pp. 1–15; J. Darwin, ʻImperialism and the Victorians: The Dynamics of Territorial Expansionʼ, English Historical Review, cxii (1997), pp. 614–42.",1
13,"sought to sell ‘neutral’ stories to a broader audience than the partisan press of the earlier nineteenth century. The stories of colonial explorers and administrators were closely followed in newspapers, and the mediated construction of these protagonists turned men such as Henry Morton Stanley and Pierre Savorgnan de Brazza into international celebrities. This ‘celebritisation’ in turn fuelled a colonial imagination among the public, which pressured policymakers into further colonial exploits.[CITATION-13] It has also been shown that colonialism, the press and fiction reinforced each other. This symbiotic relationship between colonialism, the press, and fiction not only perpetuated the glorification of colonial heroes but also justified and normalized the expansionist agenda of colonial powers. But this colonial dimension still does not fully explain the press attention that Rhodes received.","E. Berenson, Heroes of Empire: Five Charismatic Men and the Conquest of Africa (Berkeley, CA, 2011); B. Sèbe, Heroic Imperialists in Africa: The Promotion of British and French Colonial Heroes, 1870–1939 (Manchester, 2013); S.J. Potter, ʻJingoism, Public Opinion, and the New Imperialism: Newspapers and Imperial Rivalries at the Fin de Siècleʼ, Media History, xx (2014), pp. 34–50; R. Clarke, ed., Celebrity Colonialism: Fame, Power and Representation in Colonial and Postcolonial Cultures (Newcastle upon Tyne, 2009).",1
14,"the earlier nineteenth century. The stories of colonial explorers and administrators were closely followed in newspapers, and the mediated construction of these protagonists turned men such as Henry Morton Stanley and Pierre Savorgnan de Brazza into international celebrities. This ‘celebritisation’ in turn fuelled a colonial imagination among the public, which pressured policymakers into further colonial exploits. It has also been shown that colonialism, the press and fiction reinforced each other. However, the press attention that Rhodes received during his telegraph and railway talks cannot be solely attributed to the colonial dimension. Here, royal celebrity, which also largely superseded partisanship, played a significant role in shaping public opinion and garnering media attention. [CITATION-14] 

CITATION
A. Griffiths, The New Journalism, the New Imperialism and the Fiction of Empire, 1870–1900 (Basingstoke, 2015).","A. Griffiths, The New Journalism, the New Imperialism and the Fiction of Empire, 1870–1900 (Basingstoke, 2015).",1
15,"the public, which pressured policymakers into further colonial exploits. It has also been shown that colonialism, the press and fiction reinforced each other. But this colonial dimension still does not fully explain the press attention that Rhodes received during his telegraph and railway talks. Here, royal celebrity, which also largely superseded partisanship, comes into play. Monarchs enjoyed ‘ascribed celebrity’ by lineage rather than relying on ‘achieved celebrity’ as colonialists did. Moreover, their ‘hereditary charisma’ was complemented by what the contemporary sociologist Max Weber called ‘charisma of office’. However, increasing constitutional constraints in the nineteenth century forced monarchs to reinvent their image and adapt to changing times. [CITATION-15] 

In my opinion, the reinvention of the monarchs' image was a necessary step to maintain their relevance and power in a rapidly evolving society.","C. Rojek, ʻCourting Fame: The Monarchy and Celebrity Cultureʼ, in T. Bentley and J. Wilsdon, eds, Monarchies: What are Kings and Queens For? (London, 2002), pp. 105–6.",1
